"ncohort","utype","rtype","bd.sel","od.sel","bd.pts","od.pts","earlystop","overdose","poorall","ov.sel","design"
"8","1","1","46","56","33.75","41","7","9","44","2","tepi"
"10","1","1","47","63","31.1","43.3","3","9.5","42","2","tepi"
"12","1","1","40","60","25.5","42.6666666666667","4","8.16666666666667","65","3","tepi"
"14","1","1","42","54","28.5","43","6","11.2857142857143","53","3","tepi"
"16","1","1","50","62","31.5625","47.3125","3","8.9375","55","2","tepi"
"18","1","1","46","60","27.1111111111111","39","3","9.66666666666667","60","0","tepi"
"20","1","1","49","62","23.55","37.75","6","8.95","69","0","tepi"
"22","1","1","50","67","24.5909090909091","37.6363636363636","4","6.5909090909091","69","0","tepi"
"24","1","1","48","67","32.2083333333334","48.5833333333333","7","8.04166666666667","57","0","tepi"
"26","1","1","43","63","28.8846153846154","42.8846153846154","3","8.88461538461538","66","1","tepi"
"28","1","1","51","64","24.3571428571429","38.3928571428571","5","7.71428571428571","71","2","tepi"
"30","1","1","51","67","27.8333333333333","44.3333333333333","5","8.16666666666666","66","0","tepi"
"8","2","1","32","52","34.375","51.5","0","6.25","39","10","tepi"
"10","2","1","27","66","29.3","57.2","0","9.4","52","10","tepi"
"12","2","1","23","66","30.0833333333333","63","2","10.9166666666667","49","10","tepi"
"14","2","1","27","59","28.0714285714286","55.2142857142857","6","12.4285714285714","54","11","tepi"
"16","2","1","27","60","29.3125","58.5625","0","10.8125","57","10","tepi"
"18","2","1","24","60","29","61.7777777777778","2","13.8333333333333","62","11","tepi"
"20","2","1","26","62","27.15","56.6","8","9.6","65","6","tepi"
"22","2","1","26","63","30.0454545454546","60.4545454545454","1","7.63636363636364","59","4","tepi"
"24","2","1","28","55","28.5833333333333","52.25","6","10.625","61","3","tepi"
"26","2","1","40","73","32.0769230769231","62.1923076923077","3","12.6153846153846","57","6","tepi"
"28","2","1","38","62","33.4642857142857","59.2857142857143","4","7.53571428571428","58","2","tepi"
"30","2","1","31","68","30.3","65.4","3","5.33333333333333","65","1","tepi"
