"ncohort","utype","rtype","bd.sel","od.sel","bd.pts","od.pts","earlystop","overdose","poorall","ov.sel","design"
"8","1","1","28","43","19.875","32.125","2","1.875","55","0","tepi"
"10","1","1","40","54","20.2","33.4","8","1.7","56","1","tepi"
"12","1","1","31","45","25.5","38.3333333333333","11","2.66666666666667","49","0","tepi"
"14","1","1","51","63","28.2857142857143","38.5714285714286","7","4.64285714285714","45","1","tepi"
"16","1","1","35","47","29.3125","39.875","9","2.8125","48","0","tepi"
"18","1","1","39","58","28.4444444444445","47.7222222222222","5","3","49","2","tepi"
"20","1","1","34","58","29.65","46.2","7","4.4","47","1","tepi"
"22","1","1","42","58","35.2272727272727","44.9545454545455","7","3.09090909090909","43","0","tepi"
"24","1","1","44","57","29.5833333333333","49.3333333333333","8","2.83333333333333","51","0","tepi"
"26","1","1","46","67","34.3461538461539","53.3461538461539","5","2.88461538461538","49","1","tepi"
"28","1","1","46","63","32","50.3214285714286","5","3.17857142857143","51","0","tepi"
"30","1","1","44","62","29.1666666666667","45.3666666666667","4","4.36666666666667","57","0","tepi"
"8","2","1","41","47","19.875","25.5","0","1.25","55","2","tepi"
"10","2","1","48","63","25.6","35.7","5","2.5","34","3","tepi"
"12","2","1","48","61","27.1666666666667","35.4166666666667","3","3.33333333333333","45","2","tepi"
"14","2","1","30","58","25.5","41.5","2","2.14285714285714","51","3","tepi"
"16","2","1","47","64","32.375","45.5","3","4.8125","41","2","tepi"
"18","2","1","46","65","31.1111111111111","44.1666666666667","3","3.33333333333333","47","4","tepi"
"20","2","1","51","71","33.85","51.25","3","3.5","41","0","tepi"
"22","2","1","36","58","31.2727272727273","46.9545454545455","9","3.72727272727273","52","1","tepi"
"24","2","1","44","73","32.75","53.7083333333333","4","2.45833333333333","43","0","tepi"
"26","2","1","49","64","36.6923076923077","48.7692307692308","11","3.5","44","2","tepi"
"28","2","1","55","74","41.5357142857143","57.7857142857143","2","3.60714285714286","38","2","tepi"
"30","2","1","43","67","33.9333333333333","53.9333333333333","6","2.53333333333333","50","2","tepi"
